session_id,user_id,course_id,intent,user_query,ai_response_summary,tokens_used,satisfaction_score,created_at
AIS0000001,USR007291,CRS038265,Career Guidance,Explain a concept related to AI with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1262,2,2026-03-06
AIS0000002,USR048494,CRS013785,Revision,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4302,1,2026-05-07
AIS0000003,USR034475,CRS004840,Revision,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3926,2,2026-03-11
AIS0000004,USR013778,CRS015261,Quiz Generation,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4138,3,2026-04-21
AIS0000005,USR016630,CRS006670,Doubt Solving,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3066,2,2026-02-19
AIS0000006,USR015232,CRS046037,Career Guidance,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2015,5,2026-03-27
AIS0000007,USR003471,CRS034238,Revision,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3324,2,2026-03-31
AIS0000008,USR045957,CRS014491,Quiz Generation,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3016,1,2026-05-04
AIS0000009,USR009831,CRS000841,Assignment Help,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4821,3,2026-03-13
AIS0000010,USR017805,CRS025456,Doubt Solving,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4848,2,2026-04-27
AIS0000011,USR032526,CRS019830,Concept Explanation,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4818,4,2026-04-07
AIS0000012,USR027024,CRS018976,Revision,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4472,4,2026-04-01
AIS0000013,USR024618,CRS026122,Quiz Generation,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",820,2,2026-04-22
AIS0000014,USR017032,CRS046632,Doubt Solving,Explain a concept related to HR with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4551,1,2026-03-21
AIS0000015,USR021453,CRS001792,Quiz Generation,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4836,2,2026-04-28
AIS0000016,USR044535,CRS013206,Revision,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1707,5,2026-02-17
AIS0000017,USR043311,CRS000446,Revision,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3145,2,2026-02-27
AIS0000018,USR002029,CRS040550,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4599,3,2026-04-19
AIS0000019,USR026476,CRS025304,Career Guidance,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1568,5,2026-05-06
AIS0000020,USR010707,CRS010408,Career Guidance,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",315,3,2026-05-01
AIS0000021,USR019414,CRS020643,Assignment Help,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",402,4,2026-02-21
AIS0000022,USR016635,CRS034605,Doubt Solving,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1979,4,2026-02-14
AIS0000023,USR030054,CRS006796,Career Guidance,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4884,4,2026-02-22
AIS0000024,USR028457,CRS035549,Career Guidance,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4182,3,2026-04-19
AIS0000025,USR023949,CRS023990,Quiz Generation,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2440,3,2026-04-13
AIS0000026,USR047126,CRS030614,Revision,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3854,5,2026-03-27
AIS0000027,USR013534,CRS047632,Doubt Solving,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1420,5,2026-03-26
AIS0000028,USR028249,CRS016359,Quiz Generation,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4847,4,2026-04-28
AIS0000029,USR002521,CRS021062,Concept Explanation,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2449,3,2026-04-20
AIS0000030,USR029153,CRS027812,Quiz Generation,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4729,1,2026-03-18
AIS0000031,USR019377,CRS049293,Revision,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4445,4,2026-05-09
AIS0000032,USR007713,CRS029192,Concept Explanation,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",483,3,2026-03-24
AIS0000033,USR008180,CRS000654,Revision,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1890,3,2026-02-26
AIS0000034,USR033404,CRS034662,Doubt Solving,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1058,3,2026-03-19
AIS0000035,USR012922,CRS000734,Revision,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4919,1,2026-03-20
AIS0000036,USR011975,CRS028087,Assignment Help,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4157,4,2026-03-17
AIS0000037,USR045361,CRS030691,Quiz Generation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3288,2,2026-03-25
AIS0000038,USR020883,CRS012337,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",413,2,2026-04-18
AIS0000039,USR028568,CRS007349,Revision,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3694,3,2026-04-24
AIS0000040,USR002794,CRS047316,Career Guidance,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4844,2,2026-05-12
AIS0000041,USR011132,CRS023661,Assignment Help,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3104,1,2026-03-18
AIS0000042,USR024603,CRS023331,Quiz Generation,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",308,1,2026-03-25
AIS0000043,USR033940,CRS024876,Assignment Help,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2252,1,2026-03-31
AIS0000044,USR017662,CRS008739,Quiz Generation,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4516,3,2026-04-05
AIS0000045,USR026136,CRS030200,Career Guidance,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3946,4,2026-03-31
AIS0000046,USR042651,CRS030879,Career Guidance,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2066,4,2026-03-04
AIS0000047,USR040046,CRS042606,Doubt Solving,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",897,5,2026-03-23
AIS0000048,USR006435,CRS026566,Concept Explanation,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3074,1,2026-04-01
AIS0000049,USR020927,CRS029946,Revision,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1732,2,2026-04-23
AIS0000050,USR027235,CRS004573,Quiz Generation,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1682,3,2026-04-10
AIS0000051,USR043228,CRS034628,Assignment Help,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",527,1,2026-04-19
AIS0000052,USR014989,CRS004040,Doubt Solving,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",359,4,2026-05-13
AIS0000053,USR021077,CRS017272,Doubt Solving,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4219,5,2026-04-22
AIS0000054,USR029497,CRS000720,Career Guidance,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",553,4,2026-02-12
AIS0000055,USR036574,CRS048468,Doubt Solving,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1999,5,2026-04-26
AIS0000056,USR045671,CRS043388,Revision,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3975,2,2026-04-03
AIS0000057,USR000270,CRS028839,Career Guidance,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1621,3,2026-02-23
AIS0000058,USR029563,CRS039261,Concept Explanation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4566,2,2026-03-09
AIS0000059,USR017030,CRS044991,Revision,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",277,3,2026-02-26
AIS0000060,USR003583,CRS001899,Concept Explanation,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4298,1,2026-02-27
AIS0000061,USR012356,CRS031288,Career Guidance,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2859,5,2026-03-12
AIS0000062,USR009769,CRS039072,Revision,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",977,2,2026-02-24
AIS0000063,USR044791,CRS018996,Doubt Solving,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3074,2,2026-05-08
AIS0000064,USR036473,CRS011056,Concept Explanation,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4303,4,2026-03-31
AIS0000065,USR020648,CRS046591,Doubt Solving,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1193,2,2026-02-13
AIS0000066,USR037970,CRS001677,Career Guidance,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2447,5,2026-05-05
AIS0000067,USR003458,CRS033617,Quiz Generation,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2738,1,2026-04-08
AIS0000068,USR046299,CRS019360,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4173,5,2026-04-02
AIS0000069,USR022448,CRS021849,Quiz Generation,Explain a concept related to AI with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1059,1,2026-03-20
AIS0000070,USR028225,CRS004024,Assignment Help,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3777,1,2026-03-07
AIS0000071,USR004725,CRS010767,Doubt Solving,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1118,4,2026-03-24
AIS0000072,USR027822,CRS021082,Concept Explanation,Explain a concept related to AI with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1032,4,2026-02-27
AIS0000073,USR021406,CRS007186,Doubt Solving,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4659,4,2026-04-02
AIS0000074,USR016773,CRS042037,Concept Explanation,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2438,3,2026-03-04
AIS0000075,USR002005,CRS009298,Concept Explanation,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3628,1,2026-03-05
AIS0000076,USR019954,CRS007891,Doubt Solving,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4916,2,2026-03-08
AIS0000077,USR017452,CRS006280,Doubt Solving,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4780,3,2026-02-20
AIS0000078,USR005100,CRS006285,Assignment Help,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1752,3,2026-04-25
AIS0000079,USR042034,CRS023853,Assignment Help,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2725,5,2026-04-16
AIS0000080,USR015820,CRS002662,Quiz Generation,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",308,5,2026-03-04
AIS0000081,USR043228,CRS034714,Quiz Generation,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3377,3,2026-03-18
AIS0000082,USR015874,CRS029532,Revision,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1254,2,2026-03-09
