course_id,course_title,slug,domain,level,language,course_format,duration_hours,price_inr,trainer_id,mapped_skill_ids,ai_generated_summary,has_ai_tutor,has_gamified_assessment,certificate_enabled,rating,enrollment_count,status,created_at
CRS000001,Healthcare Expert Mastery Program 1,healthcare-expert-mastery-program-1-1,Healthcare,Expert,Bengali,Microlearning,2,14999,USR000338,SKL00196|SKL00197|SKL00402|SKL00358|SKL00066|SKL00427,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,True,3.7,2040,Under Review,2026-04-29
CRS000002,AI Beginner Mastery Program 2,ai-beginner-mastery-program-2-2,AI,Beginner,Hindi,Cohort-based,16,999,USR048772,SKL00377|SKL00268|SKL00029|SKL00250|SKL00450|SKL00330,"This course builds practical capability in AI through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.6,5841,Under Review,2024-11-13
CRS000003,Leadership Advanced Mastery Program 3,leadership-advanced-mastery-program-3-3,Leadership,Advanced,Marathi,Live Instructor-led,4,0,USR020696,SKL00415|SKL00212|SKL00284|SKL00297|SKL00320,"This course builds practical capability in Leadership through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,True,4.0,8958,Published,2025-10-10
CRS000004,Data Science Intermediate Mastery Program 4,data-science-intermediate-mastery-program-4-4,Data Science,Intermediate,English,Self-paced,2,499,USR028913,SKL00013|SKL00159|SKL00147,"This course builds practical capability in Data Science through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.9,9006,Archived,2026-03-06
CRS000005,Digital Marketing Advanced Mastery Program 5,digital-marketing-advanced-mastery-program-5-5,Digital Marketing,Advanced,Marathi,Cohort-based,2,0,USR013675,SKL00331|SKL00394,"This course builds practical capability in Digital Marketing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.6,9423,Draft,2025-09-20
CRS000006,Governance Intermediate Mastery Program 6,governance-intermediate-mastery-program-6-6,Governance,Intermediate,English,Live Instructor-led,24,24999,USR024587,SKL00186|SKL00121|SKL00427|SKL00480,"This course builds practical capability in Governance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.9,5218,Under Review,2025-04-26
CRS000007,HR Intermediate Mastery Program 7,hr-intermediate-mastery-program-7-7,HR,Intermediate,French,Cohort-based,12,1999,USR043071,SKL00316|SKL00398,"This course builds practical capability in HR through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,False,3.3,4137,Archived,2025-08-06
CRS000008,AI Beginner Mastery Program 8,ai-beginner-mastery-program-8-8,AI,Beginner,Arabic,Microlearning,8,14999,USR012986,SKL00424|SKL00483|SKL00042|SKL00368,"This course builds practical capability in AI through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.2,2775,Archived,2025-03-03
CRS000009,Digital Marketing Beginner Mastery Program 9,digital-marketing-beginner-mastery-program-9-9,Digital Marketing,Beginner,Bengali,Cohort-based,6,24999,USR007183,SKL00301|SKL00111|SKL00095|SKL00092|SKL00291|SKL00416,"This course builds practical capability in Digital Marketing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.6,3311,Draft,2025-01-02
CRS000010,Quality Management Expert Mastery Program 10,quality-management-expert-mastery-program-10-10,Quality Management,Expert,Marathi,Microlearning,120,14999,USR001918,SKL00053|SKL00187|SKL00290|SKL00294,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.5,1252,Draft,2024-06-21
CRS000011,Cybersecurity Beginner Mastery Program 11,cybersecurity-beginner-mastery-program-11-11,Cybersecurity,Beginner,Gujarati,Self-paced,120,4999,USR005914,SKL00130|SKL00483,"This course builds practical capability in Cybersecurity through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,4.8,7828,Archived,2024-09-18
CRS000012,Healthcare Advanced Mastery Program 12,healthcare-advanced-mastery-program-12-12,Healthcare,Advanced,Hindi,Cohort-based,120,9999,USR001776,SKL00455|SKL00484,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,4.7,3328,Archived,2024-07-16
CRS000013,Sales Expert Mastery Program 13,sales-expert-mastery-program-13-13,Sales,Expert,Kannada,Cohort-based,80,49999,USR031240,SKL00294|SKL00361,"This course builds practical capability in Sales through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,False,3.8,1758,Draft,2025-03-25
CRS000014,Quality Management Expert Mastery Program 14,quality-management-expert-mastery-program-14-14,Quality Management,Expert,Telugu,Microlearning,60,0,USR045449,SKL00044|SKL00033|SKL00390|SKL00012|SKL00184,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,4.6,5697,Under Review,2024-08-18
CRS000015,Cloud Beginner Mastery Program 15,cloud-beginner-mastery-program-15-15,Cloud,Beginner,Hindi,Cohort-based,24,999,USR045776,SKL00470|SKL00001|SKL00397|SKL00039|SKL00423,"This course builds practical capability in Cloud through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,False,4.4,7958,Published,2026-03-13
CRS000016,Manufacturing Expert Mastery Program 16,manufacturing-expert-mastery-program-16-16,Manufacturing,Expert,Hindi,Self-paced,24,14999,USR006902,SKL00261|SKL00490|SKL00285|SKL00388|SKL00421,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.8,5437,Archived,2025-07-05
CRS000017,Leadership Advanced Mastery Program 17,leadership-advanced-mastery-program-17-17,Leadership,Advanced,Kannada,Simulation Lab,120,1999,USR027731,SKL00066|SKL00495|SKL00302|SKL00233|SKL00437|SKL00107,"This course builds practical capability in Leadership through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.2,9530,Draft,2025-05-06
CRS000018,Finance Expert Mastery Program 18,finance-expert-mastery-program-18-18,Finance,Expert,Telugu,Hybrid,80,24999,USR048522,SKL00239|SKL00004|SKL00487|SKL00250|SKL00317,"This course builds practical capability in Finance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.1,9785,Published,2025-04-15
