thread_id,category,course_id,created_by_user_id,title,description,reply_count,accepted_answer_user_id,ai_answer_generated,status,created_at
FRM000001,Assessment Help,,USR002325,How to solve a practical challenge in HR? #1,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to HR.",104,USR007879,False,Resolved,2025-12-07
FRM000002,Doubt Solving,CRS041205,USR042110,How to solve a practical challenge in Data Science? #2,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",138,USR020635,True,Closed,2026-01-09
FRM000003,Career Guidance,CRS001920,USR002481,How to solve a practical challenge in HR? #3,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to HR.",67,USR008016,True,Resolved,2026-01-30
FRM000004,Industry Discussion,CRS041794,USR011237,How to solve a practical challenge in Data Science? #4,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",251,USR047881,False,Resolved,2026-03-11
FRM000005,Doubt Solving,CRS012681,USR003726,How to solve a practical challenge in Full Stack? #5,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",48,USR035060,False,Open,2025-12-17
FRM000006,Doubt Solving,CRS025080,USR003542,How to solve a practical challenge in Project Management? #6,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",219,USR020447,True,Open,2026-04-10
FRM000007,Trainer Q&A,,USR031943,How to solve a practical challenge in Project Management? #7,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",248,USR030105,True,Resolved,2026-04-03
FRM000008,Career Guidance,CRS018050,USR039980,How to solve a practical challenge in Leadership? #8,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",139,USR006867,True,Closed,2025-12-26
FRM000009,Assessment Help,CRS010826,USR008489,How to solve a practical challenge in Cybersecurity? #9,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",185,USR036841,False,Closed,2025-12-27
FRM000010,Doubt Solving,,USR040182,How to solve a practical challenge in Cybersecurity? #10,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",288,,True,Open,2025-12-19
FRM000011,Career Guidance,,USR009885,How to solve a practical challenge in Sales? #11,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",23,,False,Resolved,2026-04-28
FRM000012,Project Help,,USR001293,How to solve a practical challenge in Governance? #12,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",13,USR049753,True,Closed,2025-12-25
FRM000013,Career Guidance,CRS016602,USR025765,How to solve a practical challenge in Manufacturing? #13,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Manufacturing.",10,,False,Resolved,2025-11-21
FRM000014,Career Guidance,,USR015997,How to solve a practical challenge in Finance? #14,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",189,,False,Closed,2026-01-19
FRM000015,Trainer Q&A,CRS008080,USR028755,How to solve a practical challenge in Finance? #15,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",198,USR021191,True,Resolved,2026-05-12
FRM000016,Career Guidance,CRS047220,USR032960,How to solve a practical challenge in HR? #16,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to HR.",233,,False,Closed,2026-03-13
FRM000017,Project Help,CRS001033,USR000610,How to solve a practical challenge in Sales? #17,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",233,,False,Resolved,2026-02-01
FRM000018,Doubt Solving,,USR016184,How to solve a practical challenge in AI? #18,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to AI.",72,USR042277,True,Closed,2025-12-18
FRM000019,Career Guidance,CRS034340,USR044412,How to solve a practical challenge in Sales? #19,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",141,,False,Pinned,2025-11-28
FRM000020,Industry Discussion,,USR030518,How to solve a practical challenge in Finance? #20,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",248,USR013166,False,Resolved,2026-04-03
FRM000021,Trainer Q&A,CRS006115,USR048792,How to solve a practical challenge in Project Management? #21,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",49,USR036267,True,Closed,2025-11-23
FRM000022,AI Forum,CRS041979,USR014265,How to solve a practical challenge in Governance? #22,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",269,USR005149,True,Pinned,2026-01-19
FRM000023,Assessment Help,,USR048032,How to solve a practical challenge in Governance? #23,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",13,USR043322,False,Resolved,2026-01-16
FRM000024,Project Help,,USR010267,How to solve a practical challenge in Project Management? #24,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",97,USR012208,True,Open,2026-05-10
FRM000025,Industry Discussion,CRS049877,USR049355,How to solve a practical challenge in Manufacturing? #25,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Manufacturing.",102,USR028059,False,Closed,2026-02-12
FRM000026,Assessment Help,CRS024953,USR008453,How to solve a practical challenge in AI? #26,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to AI.",112,,False,Closed,2026-01-01
FRM000027,AI Forum,CRS019732,USR036508,How to solve a practical challenge in Healthcare? #27,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",156,,False,Resolved,2026-03-15
FRM000028,Project Help,CRS023095,USR040468,How to solve a practical challenge in AI? #28,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to AI.",116,USR043063,True,Open,2026-01-04
FRM000029,Project Help,CRS048859,USR040260,How to solve a practical challenge in Data Science? #29,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",229,,False,Open,2026-05-11
FRM000030,AI Forum,,USR033841,How to solve a practical challenge in Cybersecurity? #30,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",183,,False,Resolved,2025-11-30
FRM000031,AI Forum,,USR003869,How to solve a practical challenge in Full Stack? #31,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",240,,True,Closed,2026-02-10
FRM000032,Assessment Help,CRS020943,USR040922,How to solve a practical challenge in Governance? #32,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",40,USR048111,True,Closed,2026-05-10
FRM000033,Project Help,CRS041284,USR025520,How to solve a practical challenge in Cybersecurity? #33,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",77,USR008894,True,Resolved,2025-12-08
FRM000034,Assessment Help,CRS041829,USR044993,How to solve a practical challenge in Project Management? #34,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",118,USR004463,True,Resolved,2025-11-27
FRM000035,Assessment Help,CRS016333,USR016505,How to solve a practical challenge in Data Science? #35,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",155,USR008617,True,Open,2025-12-02
FRM000036,Project Help,,USR022028,How to solve a practical challenge in Finance? #36,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",65,,False,Open,2026-04-30
FRM000037,Career Guidance,CRS021039,USR004487,How to solve a practical challenge in Data Science? #37,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",79,USR011108,True,Pinned,2025-12-19
FRM000038,Trainer Q&A,,USR049899,How to solve a practical challenge in Project Management? #38,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",229,USR024550,True,Open,2026-02-11
FRM000039,Project Help,,USR048084,How to solve a practical challenge in Quality Management? #39,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Quality Management.",227,,False,Closed,2026-02-17
FRM000040,AI Forum,,USR045841,How to solve a practical challenge in Leadership? #40,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",295,USR021329,False,Resolved,2026-02-17
FRM000041,Trainer Q&A,CRS036016,USR016938,How to solve a practical challenge in Digital Marketing? #41,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Digital Marketing.",254,,True,Closed,2025-11-19
FRM000042,Project Help,CRS013803,USR009187,How to solve a practical challenge in Governance? #42,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",161,,True,Resolved,2026-02-03
FRM000043,Industry Discussion,CRS048886,USR034085,How to solve a practical challenge in Digital Marketing? #43,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Digital Marketing.",294,,True,Resolved,2025-11-21
FRM000044,Trainer Q&A,CRS042678,USR040376,How to solve a practical challenge in Data Science? #44,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",151,USR028354,True,Pinned,2026-02-09
FRM000045,Industry Discussion,CRS014335,USR047430,How to solve a practical challenge in Finance? #45,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",257,,False,Open,2025-12-22
FRM000046,Trainer Q&A,CRS000352,USR027916,How to solve a practical challenge in Data Science? #46,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",204,,True,Closed,2026-04-28
FRM000047,Career Guidance,,USR031330,How to solve a practical challenge in Finance? #47,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",59,,False,Open,2026-01-30
FRM000048,AI Forum,CRS008433,USR025419,How to solve a practical challenge in Finance? #48,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",53,USR041423,True,Resolved,2025-11-26
FRM000049,Doubt Solving,,USR016554,How to solve a practical challenge in AI? #49,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to AI.",10,USR023920,True,Resolved,2026-03-03
FRM000050,Assessment Help,CRS006770,USR025440,How to solve a practical challenge in Full Stack? #50,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",49,,True,Pinned,2026-02-05
FRM000051,AI Forum,CRS034605,USR022352,How to solve a practical challenge in Leadership? #51,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",224,USR047731,True,Closed,2026-01-11
FRM000052,Assessment Help,CRS045667,USR025328,How to solve a practical challenge in HR? #52,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to HR.",266,USR021511,False,Open,2026-01-11
FRM000053,Trainer Q&A,CRS021565,USR033413,How to solve a practical challenge in Sales? #53,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",21,USR026445,True,Closed,2025-11-15
FRM000054,AI Forum,CRS033078,USR017181,How to solve a practical challenge in Governance? #54,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",293,USR025619,True,Resolved,2026-01-23
FRM000055,Career Guidance,,USR016013,How to solve a practical challenge in Full Stack? #55,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",186,USR029892,False,Open,2025-12-09
FRM000056,Project Help,,USR017709,How to solve a practical challenge in Leadership? #56,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",274,,True,Open,2025-12-16
FRM000057,Industry Discussion,CRS039365,USR000497,How to solve a practical challenge in Cloud? #57,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cloud.",73,USR026851,True,Closed,2026-01-19
FRM000058,Trainer Q&A,CRS043800,USR010299,How to solve a practical challenge in Leadership? #58,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",275,,True,Pinned,2026-02-07
FRM000059,Doubt Solving,,USR001765,How to solve a practical challenge in Cloud? #59,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cloud.",14,USR004194,True,Closed,2026-05-04
